ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1499169578.030095	CGtJIote8LdxxIbD8	192.168.10.51	49810	192.168.10.50	21	tcp	ftp	0.396236	88	219	SF	T	T	0	ShAdtDTafF	26	1544	28	1910	-
1499169658.101645	Co7EclOBWY9Ez7I55	192.168.10.9	1065	192.168.10.50	21	tcp	ftp	0.645237	88	220	SF	T	T	0	ShAdtDTatfF	22	1104	30	1708	-
1499169956.981367	CpPsoe2Wul3eruAV8e	192.168.10.14	49496	192.168.10.50	21	tcp	ftp	0.419706	88	219	SF	T	T	0	ShAdtDTafF	24	1160	28	1582	-
1499170015.850612	CBNCQi31nI3xAwQWf4	192.168.10.16	53770	192.168.10.50	21	tcp	ftp	0.377359	88	218	SF	T	T	0	ShAdtDTafF	26	1544	28	1908	-
1499170082.031257	Cuhall4JjpepaILBS5	192.168.10.5	49221	192.168.10.50	21	tcp	ftp	0.274135	88	220	SF	T	T	0	ShAdtDTafF	22	1080	28	1584	-
1499170118.422354	CDvaMMsTZwTNmVpN1	192.168.10.51	50076	192.168.10.50	21	tcp	ftp	0.158028	88	219	SF	T	T	0	ShAdtDTafF	22	1336	28	1910	-
1499170166.293001	CEJ2Aq25PzrFYCYYxc	192.168.10.12	49958	192.168.10.50	21	tcp	ftp	0.831456	88	218	SF	T	T	0	ShAdtDTafF	24	1440	28	1908	-
1499170261.375913	CQGoTh1u8hXwiqK128	192.168.10.8	49201	192.168.10.50	21	tcp	ftp	0.557914	88	220	SF	T	T	0	ShAdtDTafF	22	1080	28	1584	-
1499170421.229310	CB9lKJZNupGsuvewg	192.168.10.16	54862	192.168.10.50	21	tcp	ftp	0.154848	88	220	SF	T	T	0	ShAdtDTafF	22	1336	28	1912	-
1499170468.748757	CwN50J3hYz50tRc9va	192.168.10.9	1954	192.168.10.50	21	tcp	ftp	0.277491	88	219	SF	T	T	0	ShAdtDTafF	22	1080	28	1582	-
1499170497.394554	Clyhi64orG2X3CKD2	192.168.10.14	50049	192.168.10.50	21	tcp	ftp	0.200763	88	220	SF	T	T	0	ShAdtDTafF	22	1080	28	1584	-
1499170550.690937	Cks6ao30agdASyNe4g	192.168.10.15	49492	192.168.10.50	21	tcp	ftp	0.355963	88	219	SF	T	T	0	ShAdtDTafF	24	1160	28	1582	-
1499170524.589629	CjXkty3RIt0dP1yhui	192.168.10.51	51848	185.170.48.239	21	tcp	ftp	27.836741	6706	6930	SF	T	F	0	ShAdDaFf	272	20858	183	16454	-
1499170572.125504	CF9Kz938hIpF36clBg	192.168.10.12	50052	192.168.10.50	21	tcp	ftp	0.138109	88	219	SF	T	T	14	ShAdtaGDTfF	22	1336	28	1910	-
1499170576.503875	CV1Pan32OdoFcOxv5i	192.168.10.17	46177	192.168.10.50	21	tcp	ftp	0.203104	88	219	SF	T	T	0	ShAdtDTafF	24	1440	28	1910	-
1499170622.301894	Cyx2JZ22TYAEAC1eXd	192.168.10.5	49686	192.168.10.50	21	tcp	ftp	0.237635	88	218	SF	T	T	0	ShAdtDTafF	22	1080	28	1580	-
1499170658.576469	Cfg4no3QFuPa7Fvrc9	192.168.10.51	50290	192.168.10.50	21	tcp	ftp	0.138264	88	218	SF	T	T	0	ShAdtDTafF	22	1336	28	1908	-
1499170760.152729	CZtftzrSCEZSAQhZ4	172.16.0.1	52122	192.168.10.50	21	tcp	ftp	9.728223	111	188	SF	T	T	0	ShAdDafrF	11	691	17	1056	-
1499170760.152476	Ct7x432RtT4Kpebgsa	172.16.0.1	52112	192.168.10.50	21	tcp	ftp	9.760342	119	188	SF	T	T	0	ShAdDafFr	11	699	17	1056	-
1499170760.152534	CFTNCj4aR7E31o6MAl	172.16.0.1	52116	192.168.10.50	21	tcp	ftp	9.768361	108	188	SF	T	T	0	ShAdDafFr	11	688	17	1056	-
1499170760.152721	CsQmCc2qU6eFlox9Vg	172.16.0.1	52128	192.168.10.50	21	tcp	ftp	9.772434	115	188	SF	T	T	0	ShAdDafrF	11	695	17	1056	-
1499170760.152604	CslDF53jBiFR507ncc	172.16.0.1	52120	192.168.10.50	21	tcp	ftp	9.779347	114	188	SF	T	T	0	ShAdDafrF	11	694	17	1056	-
1499170760.152677	Ct0vsPcPfVYfflZua	172.16.0.1	52124	192.168.10.50	21	tcp	ftp	9.786810	119	188	SF	T	T	0	ShAdDafFr	11	699	17	1056	-
1499170760.152476	COcQ0R3f2DcKZVp0jc	172.16.0.1	52114	192.168.10.50	21	tcp	ftp	9.795752	110	188	SF	T	T	0	ShAdDafFr	11	690	17	1056	-
