ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	version	user_agent	origin	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	tags	username	password	proxied	orig_fuids	orig_filenames	orig_mime_types	resp_fuids	resp_filenames	resp_mime_types
time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	count	count	count	string	count	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]
1499348430.883833	CFGzvA2RLyZ2rLjbo3	192.168.10.14	61469	172.217.6.194	80	2	GET	pagead2.googlesyndication.com	/pagead/gen_204?id=sodar&v=14&t=2&bgai=B5c7gzD1eWe7kM5PAngSLzo7YCgAAAAA4AeAEAg&bg=!OjmlOSFETDO-gSRelcICAAAC2lIAAAJ7CgAwPLIOa77semjNXoThKXNgyTWGpDuBLxqTeO48uWTmJQnDVi3zSYkKmCMciQuAfzNtmQD5xKlCYy6gxQNELbT-7Yr0UwSYoHomJ0DCDMyOc6hT4uAukppIljP8vflNhD7vpAQ7dxzrEtZfvD1a3-HNfJXu53F6cF_rnuL9vfmVdo0uDMT2ykujI8l--Sq70q92h7N1Fj6WUcg0_sA9Lt-RAb4mxJgrZPCMhi0a9cgHK5ipAdOXPzZBJqhzM9MkMQc3BMLyMIGTzrKkz6XzGTBrORXOxbsNzXU8hH5kopyBnQ6C93lto0JpHez8OhgJXUbLGkTOkNeoYHQ-p6BkVtatxYBrjI-JboRsyC5gHr5bOtE_oapO8J4exO_LqArQ1qE5xuRQ0NO_p2y7Fvny	http://tpc.googlesyndication.com/sodar/9im3l02I.html	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	204	No Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348431.000518	CRmiAzQAPeFadxAPa	192.168.10.14	61491	93.179.237.135	80	1	GET	tags.dtxngr.com	/v1/load.c?t=1499348426086&mt_pid=6011	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	204	No Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348426.355780	CPliCo7Vr1Pc9yQCh	192.168.10.14	61345	195.225.138.206	80	1	GET	www.wiocha.pl	/subpages/info/exframer.php	http://www.wiocha.pl/	-	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	-	-	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348422.025267	Csva1fXxRKfHOEVAj	172.16.0.1	36200	192.168.10.50	80	1	GET	205.174.165.68	/dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+database(),+user()#&Submit=Submit	http://205.174.165.68/dv/vulnerabilities/sqli/?id=1%27+and+1%3D1%23&Submit=Submit	-	Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0	-	0	0	-	-	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348433.047851	CIeCnn3oIVrnFauA5a	192.168.10.14	61320	13.107.4.50	80	2	GET	au.download.windowsupdate.com	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	1.1	Microsoft BITS/7.8	-	0	6124	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	FAftUR3Uo5MrONTe9	-	application/x-dosexec
1499348433.419113	CR7xu52LCmfSKOmShe	192.168.10.14	61429	70.42.146.148	80	1	-	-	-	-	1.0	-	-	0	90	400	Bad request	-	-	(empty)	-	-	-	-	-	-	FJQVg02XspHV1yqWO7	-	text/html
1499348433.084201	C3LxSM1gVFfKI8Oreb	192.168.10.14	61493	91.185.184.7	80	1	GET	api.behavioralengine.com	/api/tagUser/?v=3.0	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	422	200	OK	-	-	(empty)	-	-	-	-	-	-	FNHrw52JymXLMBLpt2	-	text/plain
1499348433.917982	C5YULG3yEXmTjRteBl	192.168.10.14	61407	172.217.10.98	80	2	GET	cm.g.doubleclick.net	/pixel?google_nid=cloudtech_ddp&google_cm	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	294	302	Found	-	-	(empty)	-	-	-	-	-	-	F7Oitk4iHQygQXEbAd	-	text/html
1499348433.982238	Ckrxk63bpFesnde5Qk	192.168.10.14	61494	185.167.164.39	80	1	GET	dmp.adform.net	/serving/cookie/match/?party=1015	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.048851	Cm2wt81yuG8KOoBV5l	192.168.10.14	61504	68.67.178.132	80	1	-	-	-	-	1.1	-	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.032677	CST04N39MiYYvJsK5g	192.168.10.14	61508	54.209.32.107	80	1	GET	bcp.crwdcntrl.net	/5/c=8587/pe=y?http://pixel.onaudience.com/?partner=104&mapped=${profile_id}	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.074259	CTULGg37OOHSnF5cF1	192.168.10.14	61500	31.186.87.67	80	1	GET	pixel.onaudience.com	/?partner=109&smartmap=1&redirect=tags.bluekai.com/site/33141?&id=%m	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.074143	C2WzHS2R3reV95wt52	192.168.10.14	61498	31.186.87.67	80	1	GET	pixel.onaudience.com	/?partner=130&smartmap=1&redirect=dpm.demdex.net/ibs:dpid=148286&dpuuid=%m\x0a 	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.074342	CL0Fva4Mb5cBmtCw39	192.168.10.14	61499	31.186.87.67	80	1	GET	pixel.onaudience.com	/?partner=108&smartmap=1&redirect=ps.eyeota.net/pixel?pid=i0r4s2v&t=gif&uid=%m	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
1499348434.074353	Cjg1aa4KYNlYvr34l1	192.168.10.14	61497	31.186.87.67	80	1	GET	pixel.onaudience.com	/?partner=112&mapped=0000005175717812	http://www.wiocha.pl/subpages/info/exframer.php	1.1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0	-	0	0	302	Found	-	-	(empty)	-	-	-	-	-	-	-	-	-
