record1: [ts: 1499348430.883833, id.orig_h: 192.168.10.14, id.resp_h: 172.217.6.194, uri: /pagead/gen_204?id=sodar&v=14&t=2&bgai=B5c7gzD1eWe7kM5PAngSLzo7YCgAAAAA4AeAEAg&bg=!OjmlOSFETDO-gSRelcICAAAC2lIAAAJ7CgAwPLIOa77semjNXoThKXNgyTWGpDuBLxqTeO48uWTmJQnDVi3zSYkKmCMciQuAfzNtmQD5xKlCYy6gxQNELbT-7Yr0UwSYoHomJ0DCDMyOc6hT4uAukppIljP8vflNhD7vpAQ7dxzrEtZfvD1a3-HNfJXu53F6cF_rnuL9vfmVdo0uDMT2ykujI8l--Sq70q92h7N1Fj6WUcg0_sA9Lt-RAb4mxJgrZPCMhi0a9cgHK5ipAdOXPzZBJqhzM9MkMQc3BMLyMIGTzrKkz6XzGTBrORXOxbsNzXU8hH5kopyBnQ6C93lto0JpHez8OhgJXUbLGkTOkNeoYHQ-p6BkVtatxYBrjI-JboRsyC5gHr5bOtE_oapO8J4exO_LqArQ1qE5xuRQ0NO_p2y7Fvny, method: GET, trans_depth: 2, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record2: [ts: 1499348431.000518, id.orig_h: 192.168.10.14, id.resp_h: 93.179.237.135, uri: /v1/load.c?t=1499348426086&mt_pid=6011, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record3: [ts: 1499348426.355780, id.orig_h: 192.168.10.14, id.resp_h: 195.225.138.206, uri: /subpages/info/exframer.php, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record4: [ts: 1499348422.025267, id.orig_h: 172.16.0.1, id.resp_h: 192.168.10.50, uri: /dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+database(),+user()#&Submit=Submit, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0];
record5: [ts: 1499348433.047851, id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, method: GET, trans_depth: 2, user_agent: Microsoft BITS/7.8];
record6: [ts: 1499348433.419113, id.orig_h: 192.168.10.14, id.resp_h: 70.42.146.148, uri: -, method: -, trans_depth: 1, user_agent: -];
record7: [ts: 1499348433.084201, id.orig_h: 192.168.10.14, id.resp_h: 91.185.184.7, uri: /api/tagUser/?v=3.0, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record8: [ts: 1499348433.917982, id.orig_h: 192.168.10.14, id.resp_h: 172.217.10.98, uri: /pixel?google_nid=cloudtech_ddp&google_cm, method: GET, trans_depth: 2, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record9: [ts: 1499348433.982238, id.orig_h: 192.168.10.14, id.resp_h: 185.167.164.39, uri: /serving/cookie/match/?party=1015, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record10: [ts: 1499348434.048851, id.orig_h: 192.168.10.14, id.resp_h: 68.67.178.132, uri: -, method: -, trans_depth: 1, user_agent: -];
record11: [ts: 1499348434.032677, id.orig_h: 192.168.10.14, id.resp_h: 54.209.32.107, uri: /5/c=8587/pe=y?http://pixel.onaudience.com/?partner=104&mapped=${profile_id}, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record12: [ts: 1499348434.074259, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=109&smartmap=1&redirect=tags.bluekai.com/site/33141?&id=%m, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record13: [ts: 1499348434.074143, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=130&smartmap=1&redirect=dpm.demdex.net/ibs:dpid=148286&dpuuid=%m\x0a , method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record14: [ts: 1499348434.074342, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=108&smartmap=1&redirect=ps.eyeota.net/pixel?pid=i0r4s2v&t=gif&uid=%m, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record15: [ts: 1499348434.074353, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=112&mapped=0000005175717812, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record16: [ts: 1499348434.074439, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=105&mapped=CAESEHwqsa9L1qcNTRIAwhNr-Yc&google_cver=1, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record17: [ts: 1499348434.074612, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.67, uri: /?partner=95&mapped=7575247178870625294, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record18: [ts: 1499348434.079503, id.orig_h: 192.168.10.14, id.resp_h: 31.186.87.219, uri: /static/background.js, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record19: [ts: 1499348434.088874, id.orig_h: 192.168.10.14, id.resp_h: 46.229.145.48, uri: /ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record20: [ts: 1499348434.105167, id.orig_h: 192.168.10.14, id.resp_h: 85.194.240.107, uri: /static/worker.js, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
record21: [ts: 1499348434.144966, id.orig_h: 192.168.10.14, id.resp_h: 91.185.184.7, uri: /gather?partner=adform&type=mapid&pid=840601900653107744, method: GET, trans_depth: 1, user_agent: Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0];
