ts	id.orig_h	id.resp_h	uri	method	trans_depth	user_agent
1499348430.883833	192.168.10.14	172.217.6.194	/pagead/gen_204?id=sodar&v=14&t=2&bgai=B5c7gzD1eWe7kM5PAngSLzo7YCgAAAAA4AeAEAg&bg=!OjmlOSFETDO-gSRelcICAAAC2lIAAAJ7CgAwPLIOa77semjNXoThKXNgyTWGpDuBLxqTeO48uWTmJQnDVi3zSYkKmCMciQuAfzNtmQD5xKlCYy6gxQNELbT-7Yr0UwSYoHomJ0DCDMyOc6hT4uAukppIljP8vflNhD7vpAQ7dxzrEtZfvD1a3-HNfJXu53F6cF_rnuL9vfmVdo0uDMT2ykujI8l--Sq70q92h7N1Fj6WUcg0_sA9Lt-RAb4mxJgrZPCMhi0a9cgHK5ipAdOXPzZBJqhzM9MkMQc3BMLyMIGTzrKkz6XzGTBrORXOxbsNzXU8hH5kopyBnQ6C93lto0JpHez8OhgJXUbLGkTOkNeoYHQ-p6BkVtatxYBrjI-JboRsyC5gHr5bOtE_oapO8J4exO_LqArQ1qE5xuRQ0NO_p2y7Fvny	GET	2	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348431.000518	192.168.10.14	93.179.237.135	/v1/load.c?t=1499348426086&mt_pid=6011	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348426.355780	192.168.10.14	195.225.138.206	/subpages/info/exframer.php	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348422.025267	172.16.0.1	192.168.10.50	/dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+database(),+user()#&Submit=Submit	GET	1	Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0
1499348433.047851	192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	GET	2	Microsoft BITS/7.8
1499348433.419113	192.168.10.14	70.42.146.148	-	-	1	-
1499348433.084201	192.168.10.14	91.185.184.7	/api/tagUser/?v=3.0	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348433.917982	192.168.10.14	172.217.10.98	/pixel?google_nid=cloudtech_ddp&google_cm	GET	2	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348433.982238	192.168.10.14	185.167.164.39	/serving/cookie/match/?party=1015	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.048851	192.168.10.14	68.67.178.132	-	-	1	-
1499348434.032677	192.168.10.14	54.209.32.107	/5/c=8587/pe=y?http://pixel.onaudience.com/?partner=104&mapped=${profile_id}	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.074259	192.168.10.14	31.186.87.67	/?partner=109&smartmap=1&redirect=tags.bluekai.com/site/33141?&id=%m	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.074143	192.168.10.14	31.186.87.67	/?partner=130&smartmap=1&redirect=dpm.demdex.net/ibs:dpid=148286&dpuuid=%m\x0a 	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.074342	192.168.10.14	31.186.87.67	/?partner=108&smartmap=1&redirect=ps.eyeota.net/pixel?pid=i0r4s2v&t=gif&uid=%m	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.074353	192.168.10.14	31.186.87.67	/?partner=112&mapped=0000005175717812	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.074439	192.168.10.14	31.186.87.67	/?partner=105&mapped=CAESEHwqsa9L1qcNTRIAwhNr-Yc&google_cver=1	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.074612	192.168.10.14	31.186.87.67	/?partner=95&mapped=7575247178870625294	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.079503	192.168.10.14	31.186.87.219	/static/background.js	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.088874	192.168.10.14	46.229.145.48	/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.105167	192.168.10.14	85.194.240.107	/static/worker.js	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.144966	192.168.10.14	91.185.184.7	/gather?partner=adform&type=mapid&pid=840601900653107744	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.203967	192.168.10.14	129.146.13.97	/site/33141?&id=0d9462cc11c7d4d8	GET	2	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.292582	192.168.10.14	54.227.204.207	/pixel?pid=i0r4s2v&t=gif&uid=7801fd4564ac6d51	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.306958	192.168.10.14	52.86.68.249	/ibs:dpid=148286&dpuuid=a17bf7066eb7f2ff	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.237023	192.168.10.14	46.229.145.48	/__/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/	GET	2	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.407790	192.168.10.14	68.67.178.132	-	-	1	-
1499348434.342767	192.168.10.14	87.98.242.60	/tags?id=cm_ct_15cc90989e094e06&ncm=1&type=script&img=1	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.343168	192.168.10.14	87.98.242.60	/tags?id=cm_ct_f13470aedecea6d3&ncm=1&type=script&img=1	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.343275	192.168.10.14	87.98.242.60	/tags?id=cm_ct_69961a243012e2bc&ncm=1&type=script&img=1	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.412160	192.168.10.14	54.227.204.207	/match?uid=7575247178870625294&bid=2cr76e1	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.355769	192.168.10.14	31.186.87.67	/?partner=104&mapped=d9f126ae78b79801d52302363c3eaeb2	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.496898	192.168.10.14	95.154.251.155	-	-	1	-
1499348434.390362	192.168.10.14	85.194.240.107	/cookie	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.485158	192.168.10.14	87.98.242.60	/tags?id=cm_ct_00ec7d5899604461&ncm=1&type=script&img=1	GET	2	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.556692	192.168.10.14	172.217.11.6	/	GET	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
1499348434.740550	192.168.10.14	85.194.240.107	/log	POST	1	Mozilla/5.0 (Windows NT 10.0; rv:54.0) Gecko/20100101 Firefox/54.0
