id.orig_h	id.resp_h	uri	referrer	method
192.168.10.14	172.217.6.194	/pagead/gen_204?id=sodar&v=14&t=2&bgai=B5c7gzD1eWe7kM5PAngSLzo7YCgAAAAA4AeAEAg&bg=!OjmlOSFETDO-gSRelcICAAAC2lIAAAJ7CgAwPLIOa77semjNXoThKXNgyTWGpDuBLxqTeO48uWTmJQnDVi3zSYkKmCMciQuAfzNtmQD5xKlCYy6gxQNELbT-7Yr0UwSYoHomJ0DCDMyOc6hT4uAukppIljP8vflNhD7vpAQ7dxzrEtZfvD1a3-HNfJXu53F6cF_rnuL9vfmVdo0uDMT2ykujI8l--Sq70q92h7N1Fj6WUcg0_sA9Lt-RAb4mxJgrZPCMhi0a9cgHK5ipAdOXPzZBJqhzM9MkMQc3BMLyMIGTzrKkz6XzGTBrORXOxbsNzXU8hH5kopyBnQ6C93lto0JpHez8OhgJXUbLGkTOkNeoYHQ-p6BkVtatxYBrjI-JboRsyC5gHr5bOtE_oapO8J4exO_LqArQ1qE5xuRQ0NO_p2y7Fvny	http://tpc.googlesyndication.com/sodar/9im3l02I.html	GET
192.168.10.14	93.179.237.135	/v1/load.c?t=1499348426086&mt_pid=6011	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	195.225.138.206	/subpages/info/exframer.php	http://www.wiocha.pl/	GET
172.16.0.1	192.168.10.50	/dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+database(),+user()#&Submit=Submit	http://205.174.165.68/dv/vulnerabilities/sqli/?id=1%27+and+1%3D1%23&Submit=Submit	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
192.168.10.14	70.42.146.148	-	-	-
192.168.10.14	91.185.184.7	/api/tagUser/?v=3.0	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	172.217.10.98	/pixel?google_nid=cloudtech_ddp&google_cm	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	185.167.164.39	/serving/cookie/match/?party=1015	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	68.67.178.132	-	-	-
192.168.10.14	54.209.32.107	/5/c=8587/pe=y?http://pixel.onaudience.com/?partner=104&mapped=${profile_id}	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.67	/?partner=109&smartmap=1&redirect=tags.bluekai.com/site/33141?&id=%m	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.67	/?partner=130&smartmap=1&redirect=dpm.demdex.net/ibs:dpid=148286&dpuuid=%m\x0a 	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.67	/?partner=108&smartmap=1&redirect=ps.eyeota.net/pixel?pid=i0r4s2v&t=gif&uid=%m	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.67	/?partner=112&mapped=0000005175717812	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.67	/?partner=105&mapped=CAESEHwqsa9L1qcNTRIAwhNr-Yc&google_cver=1	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.67	/?partner=95&mapped=7575247178870625294	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.219	/static/background.js	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	46.229.145.48	/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	85.194.240.107	/static/worker.js	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	91.185.184.7	/gather?partner=adform&type=mapid&pid=840601900653107744	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	129.146.13.97	/site/33141?&id=0d9462cc11c7d4d8	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	54.227.204.207	/pixel?pid=i0r4s2v&t=gif&uid=7801fd4564ac6d51	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	52.86.68.249	/ibs:dpid=148286&dpuuid=a17bf7066eb7f2ff	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	46.229.145.48	/__/ad.js?id=0lKbryeISH41sEgaTkHNywuwchejgH6ZszZtO6bsRdL.D7/aocodetype=1/	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	68.67.178.132	-	-	-
192.168.10.14	87.98.242.60	/tags?id=cm_ct_15cc90989e094e06&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	87.98.242.60	/tags?id=cm_ct_f13470aedecea6d3&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	87.98.242.60	/tags?id=cm_ct_69961a243012e2bc&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	54.227.204.207	/match?uid=7575247178870625294&bid=2cr76e1	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	31.186.87.67	/?partner=104&mapped=d9f126ae78b79801d52302363c3eaeb2	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	95.154.251.155	-	-	-
192.168.10.14	85.194.240.107	/cookie	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	87.98.242.60	/tags?id=cm_ct_00ec7d5899604461&ncm=1&type=script&img=1	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	172.217.11.6	/	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	85.194.240.107	/log	http://www.wiocha.pl/subpages/info/exframer.php	POST
192.168.10.14	31.186.87.219	/log	http://www.wiocha.pl/subpages/info/exframer.php	POST
192.168.10.14	93.179.237.135	/v1/load.dtx?t=1499348426086&mt_pid=6011	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
192.168.10.14	91.185.184.7	/getCookie/?cookie=null&p=adexon&domain=http://www.wiocha.pl&v=3.0	http://www.wiocha.pl/subpages/info/exframer.php	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
172.16.0.1	192.168.10.50	/dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+null,+table_name+from+information_schema.tables#&Submit=Submit	http://205.174.165.68/dv/vulnerabilities/sqli/?id=1%27+and+1%3D1+union+select+database%28%29%2C+user%28%29%23&Submit=Submit	GET
192.168.10.14	13.107.4.50	/c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe	-	GET
