ts	id.orig_h	id.resp_h	method	origin	status_code	status_msg
1499348430.883833	192.168.10.14	172.217.6.194	GET	-	204	No Content
1499348431.000518	192.168.10.14	93.179.237.135	GET	-	204	No Content
1499348426.355780	192.168.10.14	195.225.138.206	GET	-	-	-
1499348422.025267	172.16.0.1	192.168.10.50	GET	-	-	-
1499348433.047851	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
1499348433.419113	192.168.10.14	70.42.146.148	-	-	400	Bad request
1499348433.084201	192.168.10.14	91.185.184.7	GET	-	200	OK
1499348433.917982	192.168.10.14	172.217.10.98	GET	-	302	Found
1499348433.982238	192.168.10.14	185.167.164.39	GET	-	302	Found
1499348434.048851	192.168.10.14	68.67.178.132	-	-	302	Found
1499348434.032677	192.168.10.14	54.209.32.107	GET	-	302	Found
1499348434.074259	192.168.10.14	31.186.87.67	GET	-	302	Found
1499348434.074143	192.168.10.14	31.186.87.67	GET	-	302	Found
1499348434.074342	192.168.10.14	31.186.87.67	GET	-	302	Found
1499348434.074353	192.168.10.14	31.186.87.67	GET	-	302	Found
1499348434.074439	192.168.10.14	31.186.87.67	GET	-	302	Found
1499348434.074612	192.168.10.14	31.186.87.67	GET	-	302	Found
1499348434.079503	192.168.10.14	31.186.87.219	GET	-	200	OK
1499348434.088874	192.168.10.14	46.229.145.48	GET	-	301	Moved Permanently
1499348434.105167	192.168.10.14	85.194.240.107	GET	http://www.wiocha.pl	200	OK
1499348434.144966	192.168.10.14	91.185.184.7	GET	-	200	OK
1499348434.203967	192.168.10.14	129.146.13.97	GET	-	200	OK
1499348434.292582	192.168.10.14	54.227.204.207	GET	-	302	Found
1499348434.306958	192.168.10.14	52.86.68.249	GET	-	200	OK
1499348434.237023	192.168.10.14	46.229.145.48	GET	-	200	OK
1499348434.407790	192.168.10.14	68.67.178.132	-	-	302	Found
1499348434.342767	192.168.10.14	87.98.242.60	GET	-	200	OK
1499348434.343168	192.168.10.14	87.98.242.60	GET	-	200	OK
1499348434.343275	192.168.10.14	87.98.242.60	GET	-	200	OK
1499348434.412160	192.168.10.14	54.227.204.207	GET	-	200	OK
1499348434.355769	192.168.10.14	31.186.87.67	GET	-	302	Found
1499348434.496898	192.168.10.14	95.154.251.155	-	-	400	Bad request
1499348434.390362	192.168.10.14	85.194.240.107	GET	http://www.wiocha.pl	200	OK
1499348434.485158	192.168.10.14	87.98.242.60	GET	-	200	OK
1499348434.556692	192.168.10.14	172.217.11.6	GET	http://www.wiocha.pl	404	Not Found
1499348434.740550	192.168.10.14	85.194.240.107	POST	http://www.wiocha.pl	200	OK
1499348435.385307	192.168.10.14	31.186.87.219	POST	http://www.wiocha.pl	200	OK
1499348430.848449	192.168.10.14	93.179.237.135	GET	-	-	-
1499348437.184865	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
1499348432.783104	192.168.10.14	91.185.184.7	GET	-	-	-
1499348439.233002	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
1499348440.257809	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
1499348441.282089	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
1499348442.306074	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
1499348443.330020	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
1499348433.465558	172.16.0.1	192.168.10.50	GET	-	-	-
1499348444.355023	192.168.10.14	13.107.4.50	GET	-	206	Partial Content
