record1: [id.orig_h: 192.168.10.14, id.resp_h: 172.217.6.194, uri: /pagead/gen_204?id=sodar&v=14&t=2&bgai=B5c7gzD1eWe7kM5PAngSLzo7YCgAAAAA4AeAEAg&bg=!OjmlOSFETDO-gSRelcICAAAC2lIAAAJ7CgAwPLIOa77semjNXoThKXNgyTWGpDuBLxqTeO48uWTmJQnDVi3zSYkKmCMciQuAfzNtmQD5xKlCYy6gxQNELbT-7Yr0UwSYoHomJ0DCDMyOc6hT4uAukppIljP8vflNhD7vpAQ7dxzrEtZfvD1a3-HNfJXu53F6cF_rnuL9vfmVdo0uDMT2ykujI8l--Sq70q92h7N1Fj6WUcg0_sA9Lt-RAb4mxJgrZPCMhi0a9cgHK5ipAdOXPzZBJqhzM9MkMQc3BMLyMIGTzrKkz6XzGTBrORXOxbsNzXU8hH5kopyBnQ6C93lto0JpHez8OhgJXUbLGkTOkNeoYHQ-p6BkVtatxYBrjI-JboRsyC5gHr5bOtE_oapO8J4exO_LqArQ1qE5xuRQ0NO_p2y7Fvny, referrer: http://tpc.googlesyndication.com/sodar/9im3l02I.html];
record2: [id.orig_h: 192.168.10.14, id.resp_h: 93.179.237.135, uri: /v1/load.c?t=1499348426086&mt_pid=6011, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record3: [id.orig_h: 192.168.10.14, id.resp_h: 195.225.138.206, uri: /subpages/info/exframer.php, referrer: http://www.wiocha.pl/];
record4: [id.orig_h: 172.16.0.1, id.resp_h: 192.168.10.50, uri: /dv/vulnerabilities/sqli/?id=1'+and+1=1+union+select+database(),+user()#&Submit=Submit, referrer: http://205.174.165.68/dv/vulnerabilities/sqli/?id=1%27+and+1%3D1%23&Submit=Submit];
record5: [id.orig_h: 192.168.10.14, id.resp_h: 13.107.4.50, uri: /c/msdownload/update/software/defu/2017/07/am_delta_patch_1.247.545.0_904dd73324949fbeca9d43906d33ec6727b1ab62.exe, referrer: -];
record6: [id.orig_h: 192.168.10.14, id.resp_h: 70.42.146.148, uri: -, referrer: -];
record7: [id.orig_h: 192.168.10.14, id.resp_h: 91.185.184.7, uri: /api/tagUser/?v=3.0, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record8: [id.orig_h: 192.168.10.14, id.resp_h: 172.217.10.98, uri: /pixel?google_nid=cloudtech_ddp&google_cm, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record9: [id.orig_h: 192.168.10.14, id.resp_h: 185.167.164.39, uri: /serving/cookie/match/?party=1015, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
record10: [id.orig_h: 192.168.10.14, id.resp_h: 68.67.178.132, uri: -, referrer: -];
record11: [id.orig_h: 192.168.10.14, id.resp_h: 54.209.32.107, uri: /5/c=8587/pe=y?http://pixel.onaudience.com/?partner=104&mapped=${profile_id}, referrer: http://www.wiocha.pl/subpages/info/exframer.php];
