ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	auth_success	auth_attempts	direction	client	server	cipher_alg	mac_alg	compression_alg	kex_alg	host_key_alg	host_key
time	string	addr	port	addr	port	count	bool	count	enum	string	string	string	string	string	string	string	string
1499188101.508065	CilxMs1O9FoAcnwsUb	192.168.10.8	53816	192.168.10.50	22	2	T	1	-	SSH-2.0-JSCH-0.1.51	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha1	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188126.616308	C2Vue834v5pFBGkol9	192.168.10.5	57781	192.168.10.50	22	2	T	1	-	SSH-2.0-JSCH-0.1.51	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha1	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188127.885578	C9Tm4H2MP1MzKRfmB	192.168.10.5	57782	192.168.10.50	22	2	T	1	-	SSH-2.0-JSCH-0.1.51	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha1	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188141.052477	CTuxPKBL4y6cB9vdg	172.16.0.1	46292	192.168.10.50	22	2	F	4	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha2-256	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188142.057902	CXZRvo47OkP79YSb	172.16.0.1	46276	192.168.10.50	22	2	-	0	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	-	-	-	-	-	-
1499188141.052712	CqKkoD1vaPk7eDeegl	172.16.0.1	46294	192.168.10.50	22	2	F	4	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha2-256	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188141.052716	CsYAxL3NzHuMyazYW5	172.16.0.1	46282	192.168.10.50	22	2	F	4	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha2-256	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188141.053013	CG90gg4XE7hdKUw694	172.16.0.1	46280	192.168.10.50	22	2	F	4	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha2-256	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188141.053007	C53Liu2QlpYZ4toY8i	172.16.0.1	46288	192.168.10.50	22	2	F	4	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha2-256	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188142.054445	CuneQe3JPkW0fCYTA3	172.16.0.1	46278	192.168.10.50	22	2	F	4	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha2-256	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
1499188141.053020	CzXaJe3TZ7Nwqyo6rg	172.16.0.1	46284	192.168.10.50	22	2	F	4	-	SSH-2.0-paramiko_2.0.0	SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.2	aes128-ctr	hmac-sha2-256	none	diffie-hellman-group14-sha1	ssh-rsa	b5:61:ea:b4:37:43:8d:65:3f:20:5a:75:55:14:45:f0
